#separator:tab
#html:false
aan	на
Ik koop dit model.	Я покупаю эту модель.
Ik koop dit model niet.	Я не покупаю эту модель.
Koop je dit model?	Ты покупаешь эту модель?
mooi	красивый
Het is mooi.	Это красиво.
Het is niet mooi.	Это не красиво.
Is het mooi?	Это красиво?
de mouw	рукав
De mouw is lang.	Рукав длинный.
De mouw is niet lang.	Рукав не длинный.
Is de mouw lang?	Рукав длинный?
natuurlijk	конечно
Natuurlijk help ik je.	Конечно, я помогу тебе.
Natuurlijk help ik je niet.	Конечно, я не помогу тебе.
Help je me natuurlijk?	Ты, конечно, поможешь мне?
nemen	брать
Ik neem een appel.	Я беру яблоко.
Ik neem geen appel.	Я не беру яблоко.
Neem je een appel?	Ты берёшь яблоко?
nog	ещё
Ik heb nog tijd.	У меня ещё есть время.
Ik heb geen tijd meer.	У меня больше нет времени.
Heb je nog tijd?	У тебя ещё есть время?
de ober	официант
De ober brengt het eten.	Официант приносит еду.
De ober brengt het eten niet.	Официант не приносит еду.
Brengt de ober het eten?	Официант приносит еду?
het ogenblik	момент
Wacht even een ogenblik.	Подожди минутку.
Wacht niet even een ogenblik.	Не жди минутку.
Wacht je even een ogenblik?	Ты подождёшь минутку?
oké	хорошо
Oké, ik kom.	Хорошо, я приду.
Oké, ik kom niet.	Хорошо, я не приду.
Kom je oké?	Ты придёшь, хорошо?
de olie	масло
Ik gebruik olie.	Я использую масло.
Ik gebruik geen olie.	Я не использую масло.
Gebruik je olie?	Ты используешь масло?
de onderbroek	трусы
Ik draag een onderbroek.	Я ношу трусы.
Ik draag geen onderbroek.	Я не ношу трусы.
Draag je een onderbroek?	Ты носишь трусы?
het ondergoed	нижнее бельё
Ik koop ondergoed.	Я покупаю нижнее бельё.
Ik koop geen ondergoed.	Я не покупаю нижнее бельё.
Koop je ondergoed?	Ты покупаешь нижнее бельё?
ongeveer	примерно
Het is ongeveer tien uur.	Примерно десять часов.
Het is niet ongeveer tien uur.	Не примерно десять часов.
Is het ongeveer tien uur?	Примерно десять часов?
ongezond	нездоровый
Fastfood is ongezond.	Фастфуд нездоровый.
Fastfood is niet ongezond.	Фастфуд не нездоровый.
Is fastfood ongezond?	Фастфуд нездоровый?
ons	наш
Dit is ons huis.	Это наш дом.
Dit is niet ons huis.	Это не наш дом.
Is dit ons huis?	Это наш дом?
ook	тоже
Ik kom ook.	Я тоже приду.
Ik kom niet ook.	Я не приду тоже.
Kom je ook?	Ты тоже придёшь?
de oorbel	серёжка
Ik draag oorbellen.	Я ношу серёжки.
Ik draag geen oorbellen.	Я не ношу серёжки.
Draag je oorbellen?	Ты носишь серёжки?
oranje	оранжевый
De sinaasappel is oranje.	Апельсин оранжевый.
De sinaasappel is niet oranje.	Апельсин не оранжевый.
Is de sinaasappel oranje?	Апельсин оранжевый?
het overhemd	рубашка
Ik draag een overhemd.	Я ношу рубашку.
Ik draag geen overhemd.	Я не ношу рубашку.
Draag je een overhemd?	Ты носишь рубашку?
de overkant	другая сторона
Ik woon aan de overkant.	Я живу на другой стороне.
Ik woon niet aan de overkant.	Я не живу на другой стороне.
Woon je aan de overkant?	Ты живёшь на другой стороне?
het paar	пара
Ik koop een paar schoenen.	Я покупаю пару туфель.
Ik koop geen paar schoenen.	Я не покупаю пару туфель.
Koop je een paar schoenen?	Ты покупаешь пару туфель?
paars	фиолетовый
Mijn trui is paars.	Мой свитер фиолетовый.
Mijn trui is niet paars.	Мой свитер не фиолетовый.
Is jouw trui paars?	Твой свитер фиолетовый?
het pak	пакет
Ik koop een pak melk.	Я покупаю пакет молока.
Ik koop geen pak melk.	Я не покупаю пакет молока.
Koop je een pak melk?	Ты покупаешь пакет молока?
het pakje	посылка
Ik ontvang een pakje.	Я получаю посылку.
Ik ontvang geen pakje.	Я не получаю посылку.
Ontvang je een pakje?	Ты получаешь посылку?
de pantoffel	тапочка
Ik draag pantoffels.	Я ношу тапочки.
Ik draag geen pantoffels.	Я не ношу тапочки.
Draag je pantoffels?	Ты носишь тапочки?
het papier	бумага
Ik gebruik papier.	Я использую бумагу.
Ik gebruik geen papier.	Я не использую бумагу.
Gebruik je papier?	Ты используешь бумагу?
de paprika	перец
Ik eet paprika.	Я ем перец.
Ik eet geen paprika.	Я не ем перец.
Eet je paprika?	Ты ешь перец?
passen	подходить
De schoenen passen.	Туфли подходят.
De schoenen passen niet.	Туфли не подходят.
Passen de schoenen?	Туфли подходят?
de paté	паштет
Ik eet paté.	Я ем паштет.
Ik eet geen paté.	Я не ем паштет.
Eet je paté?	Ты ешь паштет?
de peer	груша
Ik eet een peer.	Я ем грушу.
Ik eet geen peer.	Я не ем грушу.
Eet je een peer?	Ты ешь грушу?
het pilsje	пиво
Ik drink een pilsje.	Я пью пиво.
Ik drink geen pilsje.	Я не пью пиво.
Drink je een pilsje?	Ты пьёшь пиво?
de pinautomaat	банкомат
Ik gebruik de pinautomaat.	Я использую банкомат.
Ik gebruik de pinautomaat niet.	Я не использую банкомат.
Gebruik je de pinautomaat?	Ты используешь банкомат?
pinnen	платить картой
Ik pin bij de kassa.	Я плачу картой на кассе.
Ik pin niet bij de kassa.	Я не плачу картой на кассе.
Pin je bij de kassa?	Ты платишь картой на кассе?
de pinpas	банковская карта
Ik gebruik mijn pinpas.	Я использую свою банковскую карту.
Ik gebruik mijn pinpas niet.	Я не использую свою банковскую карту.
Gebruik je jouw pinpas?	Ты используешь свою банковскую карту?
pittig	острый
Het eten is pittig.	Еда острая.
Het eten is niet pittig.	Еда не острая.
Is het eten pittig?	Еда острая?
de pizza	пицца
Ik eet pizza.	Я ем пиццу.
Ik eet geen pizza.	Я не ем пиццу.
Eet je pizza?	Ты ешь пиццу?
de plant	растение
Ik geef water aan de plant.	Я поливаю растение.
Ik geef geen water aan de plant.	Я не поливаю растение.
Geef je water aan de plant?	Ты поливаешь растение?
de pleister	пластырь
Ik gebruik een pleister.	Я использую пластырь.
Ik gebruik geen pleister.	Я не использую пластырь.
Gebruik je een pleister?	Ты используешь пластырь?
het poloshirt	поло
Ik draag een poloshirt.	Я ношу поло.
Ik draag geen poloshirt.	Я не ношу поло.
Draag je een poloshirt?	Ты носишь поло?
het pond	фунт
Ik koop een pond.	Я покупаю фунт.
Ik koop geen pond.	Я не покупаю фунт.
Koop je een pond?	Ты покупаешь фунт?
de port	портвейн
Ik drink port.	Я пью портвейн.
Ik drink geen port.	Я не пью портвейн.
Drink je port?	Ты пьёшь портвейн?
de portie	порция
Ik neem een portie.	Я беру порцию.
Ik neem geen portie.	Я не беру порцию.
Neem je een portie?	Ты берёшь порцию?
het postuur	телосложение
Ik heb een goed postuur.	У меня хорошее телосложение.
Ik heb geen goed postuur.	У меня не хорошее телосложение.
Heb je een goed postuur?	У тебя хорошее телосложение?
de prei	лук-порей
Ik koop prei.	Я покупаю лук-порей.
Ik koop geen prei.	Я не покупаю лук-порей.
Koop je prei?	Ты покупаешь лук-порей?
prettig	приятный
Het is prettig.	Это приятно.
Het is niet prettig.	Это не приятно.
Is het prettig?	Это приятно?
de prijs	цена
De prijs is hoog.	Цена высокая.
De prijs is niet hoog.	Цена не высокая.
Is de prijs hoog?	Цена высокая?
prima	отлично
Dat is prima.	Это отлично.
Dat is niet prima.	Это не отлично.
Is dat prima?	Это отлично?
de printer	принтер
Ik gebruik de printer.	Я использую принтер.
Ik gebruik de printer niet.	Я не использую принтер.
Gebruik je de printer?	Ты используешь принтер?
proberen	пробовать
Ik probeer het.	Я пробую это.
Ik probeer het niet.	Я не пробую это.
Probeer je het?	Ты пробуешь это?
het probleem	проблема
Ik heb een probleem.	У меня проблема.
Ik heb geen probleem.	У меня нет проблемы.
Heb je een probleem?	У тебя проблема?
het product	продукт
Ik koop dit product.	Я покупаю этот продукт.
Ik koop dit product niet.	Я не покупаю этот продукт.
Koop je dit product?	Ты покупаешь этот продукт?
de pyjama	пижама
Ik draag een pyjama.	Я ношу пижаму.
Ik draag geen pyjama.	Я не ношу пижаму.
Draag je een pyjama?	Ты носишь пижаму?
de reep	плитка
Ik eet een reep chocola.	Я ем плитку шоколада.
Ik eet geen reep chocola.	Я не ем плитку шоколада.
Eet je een reep chocola?	Ты ешь плитку шоколада?
de rekening	счёт
Ik betaal de rekening.	Я плачу по счету.
Ik betaal de rekening niet.	Я не плачу по счету.
Betaal je de rekening?	Ты платишь по счету?
rijp	спелый
De appel is rijp.	Яблоко спелое.
De appel is niet rijp.	Яблоко не спелое.
Is de appel rijp?	Яблоко спелое?
de ring	кольцо
Ik draag een ring.	Я ношу кольцо.
Ik draag geen ring.	Я не ношу кольцо.
Draag je een ring?	Ты носишь кольцо?
de rok	юбка
Ik draag een rok.	Я ношу юбку.
Ik draag geen rok.	Я не ношу юбку.
Draag je een rok?	Ты носишь юбку?
de rol	рулон
Ik koop een rol wc-papier.	Я покупаю рулон туалетной бумаги.
Ik koop geen rol wc-papier.	Я не покупаю рулон туалетной бумаги.
Koop je een rol wc-papier?	Ты покупаешь рулон туалетной бумаги?
de rollade	рулет
Ik koop rollade.	Я покупаю рулет.
Ik koop geen rollade.	Я не покупаю рулет.
Koop je rollade?	Ты покупаешь рулет?
het rolletje	рулончик
Het rolletje is leeg.	Рулончик пустой.
Het rolletje is niet leeg.	Рулончик не пустой.
Is het rolletje leeg?	Рулончик пустой?
rood	красный
De appel is rood.	Яблоко красное.
De appel is niet rood.	Яблоко не красное.
Is de appel rood?	Яблоко красное?
de roos	роза
Ik koop een roos.	Я покупаю розу.
Ik koop geen roos.	Я не покупаю розу.
Koop je een roos?	Ты покупаешь розу?
de rosé	розовое вино
Ik drink rosé.	Я пью розовое вино.
Ik drink geen rosé.	Я не пью розовое вино.
Drink je rosé?	Ты пьёшь розовое вино?
roze	розовый
Mijn trui is roze.	Мой свитер розовый.
Mijn trui is niet roze.	Мой свитер не розовый.
Is jouw trui roze?	Твой свитер розовый?
het rundvlees	говядина
Ik eet rundvlees.	Я ем говядину.
Ik eet geen rundvlees.	Я не ем говядину.
Eet je rundvlees?	Ты ешь говядину?
de salami	салями
Ik eet salami.	Я ем салями.
Ik eet geen salami.	Я не ем салями.
Eet je salami?	Ты ешь салями?
samen	вместе
We gaan samen.	Мы пойдём вместе.
We gaan niet samen.	Мы не пойдём вместе.
Gaan jullie samen?	Вы идёте вместе?
de sandaal	сандалия
Ik draag sandalen.	Я ношу сандалии.
Ik draag geen sandalen.	Я не ношу сандалии.
Draag je sandalen?	Ты носишь сандалии?
sappig	сочный
De appel is sappig.	Яблоко сочное.
De appel is niet sappig.	Яблоко не сочное.
Is de appel sappig?	Яблоко сочное?
de schoen	туфля
Ik draag schoenen.	Я ношу туфли.
Ik draag geen schoenen.	Я не ношу туфли.
Draag je schoenen?	Ты носишь туфли?
de schoenenzaak	обувной магазин
Ik ga naar de schoenenzaak.	Я пойду в обувной магазин.
Ik ga niet naar de schoenenzaak.	Я не пойду в обувной магазин.
Ga je naar de schoenenzaak?	Ты идёшь в обувной магазин?
het servies	сервиз
Ik koop servies.	Я покупаю сервиз.
Ik koop geen servies.	Я не покупаю сервиз.
Koop je servies?	Ты покупаешь сервиз?
de shampoo	шампунь
Ik gebruik shampoo.	Я использую шампунь.
Ik gebruik geen shampoo.	Я не использую шампунь.
Gebruik je shampoo?	Ты используешь шампунь?
het shirt	рубашка
Ik draag een shirt.	Я ношу рубашку.
Ik draag geen shirt.	Я не ношу рубашку.
Draag je een shirt?	Ты носишь рубашку?
de sinaasappel	апельсин
Ik eet een sinaasappel.	Я ем апельсин.
Ik eet geen sinaasappel.	Я не ем апельсин.
Eet je een sinaasappel?	Ты ешь апельсин?
de sjaal	шарф
Ik draag een sjaal.	Я ношу шарф.
Ik draag geen sjaal.	Я не ношу шарф.
Draag je een sjaal?	Ты носишь шарф?
de sla	салат
Ik eet sla.	Я ем салат.
Ik eet geen sla.	Я не ем салат.
Eet je sla?	Ты ешь салат?
de slager	мясник
De slager verkoopt vlees.	Мясник продаёт мясо.
De slager verkoopt geen vlees.	Мясник не продаёт мясо.
Verkoopt de slager vlees?	Мясник продаёт мясо?
de slagerij	мясная лавка
Ik ga naar de slagerij.	Я пойду в мясную лавку.
Ik ga niet naar de slagerij.	Я не пойду в мясную лавку.
Ga je naar de slagerij?	Ты идёшь в мясную лавку?
de slagroom	сливки
Ik gebruik slagroom.	Я использую сливки.
Ik gebruik geen slagroom.	Я не использую сливки.
Gebruik je slagroom?	Ты используешь сливки?
het slipje	трусики
Ik draag een slipje.	Я ношу трусики.
Ik draag geen slipje.	Я не ношу трусики.
Draag je een slipje?	Ты носишь трусики?
de slipper	шлёпанцы
Ik draag slippers.	Я ношу шлёпанцы.
Ik draag geen slippers.	Я не ношу шлёпанцы.
Draag je slippers?	Ты носишь шлёпанцы?
smaken	вкус
Het smaakt goed.	Это вкусно.
Het smaakt niet goed.	Это не вкусно.
Smaakt het goed?	Это вкусно?
de snijboon	стручковая фасоль
Ik eet snijbonen.	Я ем стручковую фасоль.
Ik eet geen snijbonen.	Я не ем стручковую фасоль.
Eet je snijbonen?	Ты ешь стручковую фасоль?
de sok	носок
Ik draag sokken.	Я ношу носки.
Ik draag geen sokken.	Я не ношу носки.
Draag je sokken?	Ты носишь носки?
sorry	извините
Sorry, ik ben te laat.	Извините, я опаздываю.
Sorry, ik ben niet te laat.	Извините, я не опаздываю.
Ben je sorry?	Ты извиняешься?
de spaghetti	спагетти
Ik eet spaghetti.	Я ем спагетти.
Ik eet geen spaghetti.	Я не ем спагетти.
Eet je spaghetti?	Ты ешь спагетти?
speciaal	особенный
Het is speciaal.	Это особенное.
Het is niet speciaal.	Это не особенное.
Is het speciaal?	Это особенное?
de spijkerbroek	джинсы
Ik draag een spijkerbroek.	Я ношу джинсы.
Ik draag geen spijkerbroek.	Я не ношу джинсы.
Draag je een spijkerbroek?	Ты носишь джинсы?
de spinazie	шпинат
Ik eet spinazie.	Я ем шпинат.
Ik eet geen spinazie.	Я не ем шпинат.
Eet je spinazie?	Ты ешь шпинат?
de stem	голос
Ik hoor jouw stem.	Я слышу твой голос.
Ik hoor jouw stem niet.	Я не слышу твой голос.
Hoor je mijn stem?	Ты слышишь мой голос?
stil	тихий
Het is stil.	Тихо.
Het is niet stil.	Не тихо.
Is het stil?	Тихо?
de stoel	стул
Ik zit op een stoel.	Я сижу на стуле.
Ik zit niet op een stoel.	Я не сижу на стуле.
Zit je op een stoel?	Ты сидишь на стуле?
het stokbrood	багет
Ik koop stokbrood.	Я покупаю багет.
Ik koop geen stokbrood.	Я не покупаю багет.
Koop je stokbrood?	Ты покупаешь багет?
de stroopwafel	сироповый вафли
Ik eet een stroopwafel.	Я ем сироповые вафли.
Ik eet geen stroopwafel.	Я не ем сироповые вафли.
Eet je een stroopwafel?	Ты ешь сироповые вафли?
de stropdas	галстук
Ik draag een stropdas.	Я ношу галстук.
Ik draag geen stropdas.	Я не ношу галстук.
Draag je een stropdas?	Ты носишь галстук?
de suiker	сахар
Ik gebruik suiker.	Я использую сахар.
Ik gebruik geen suiker.	Я не использую сахар.
Gebruik je suiker?	Ты используешь сахар?
de supermarkt	супермаркет
Ik ga naar de supermarkt.	Я пойду в супермаркет.
Ik ga niet naar de supermarkt.	Я не пойду в супермаркет.
Ga je naar de supermarkt?	Ты идёшь в супермаркет?
de taart	торт
Ik eet taart.	Я ем торт.
Ik eet geen taart.	Я не ем торт.
Eet je taart?	Ты ешь торт?
de tafel	стол
Ik zit aan de tafel.	Я сижу за столом.
Ik zit niet aan de tafel.	Я не сижу за столом.
Zit je aan de tafel?	Ты сидишь за столом?
de tas	сумка
Ik draag een tas.	Я ношу сумку.
Ik draag geen tas.	Я не ношу сумку.
Draag je een tas?	Ты носишь сумку?
het tasje	сумочка
Het tasje is klein.	Сумочка маленькая.
Het tasje is niet klein.	Сумочка не маленькая.
Is het tasje klein?	Сумочка маленькая?
de televisie	телевизор
Ik kijk televisie.	Я смотрю телевизор.
Ik kijk geen televisie.	Я не смотрю телевизор.
Kijk je televisie?	Ты смотришь телевизор?
terug	обратно
Ik ga terug.	Я пойду обратно.
Ik ga niet terug.	Я не пойду обратно.
Ga je terug?	Ты идёшь обратно?
de tomaat	помидор
Ik eet een tomaat.	Я ем помидор.
Ik eet geen tomaat.	Я не ем помидор.
Eet je een tomaat?	Ты ешь помидор?
de trui	свитер
Ik draag een trui.	Я ношу свитер.
Ik draag geen trui.	Я не ношу свитер.
Draag je een trui?	Ты носишь свитер?
het T-shirt	футболка
Ik draag een T-shirt.	Я ношу футболку.
Ik draag geen T-shirt.	Я не ношу футболку.
Draag je een T-shirt?	Ты носишь футболку?
de tulp	тюльпан
Ik koop een tulp.	Я покупаю тюльпан.
Ik koop geen tulp.	Я не покупаю тюльпан.
Koop je een tulp?	Ты покупаешь тюльпан?
de ui	лук
Ik gebruik ui.	Я использую лук.
Ik gebruik geen ui.	Я не использую лук.
Gebruik je ui?	Ты используешь лук?
het varkensvlees	свинина
Ik eet varkensvlees.	Я ем свинину.
Ik eet geen varkensvlees.	Я не ем свинину.
Eet je varkensvlees?	Ты ешь свинину?
veel	много
Ik heb veel tijd.	У меня много времени.
Ik heb niet veel tijd.	У меня не много времени.
Heb je veel tijd?	У тебя много времени?
het verband	бинт
Ik gebruik een verband.	Я использую бинт.
Ik gebruik geen verband.	Я не использую бинт.
Gebruik je een verband?	Ты используешь бинт?
de verkoper	продавец
De verkoper helpt mij.	Продавец помогает мне.
De verkoper helpt mij niet.	Продавец не помогает мне.
Helpt de verkoper jou?	Продавец помогает тебе?
verrukkelijk	восхитительный
Het is verrukkelijk.	Это восхитительно.
Het is niet verrukkelijk.	Это не восхитительно.
Is het verrukkelijk?	Это восхитительно?
vers	свежий
Het brood is vers.	Хлеб свежий.
Het brood is niet vers.	Хлеб не свежий.
Is het brood vers?	Хлеб свежий?
verschillend	разный
Ze zijn verschillend.	Они разные.
Ze zijn niet verschillend.	Они не разные.
Zijn ze verschillend?	Они разные?
het vest	жилет
Ik draag een vest.	Я ношу жилет.
Ik draag geen vest.	Я не ношу жилет.
Draag je een vest?	Ты носишь жилет?
de vlaai	пирог
Ik eet vlaai.	Я ем пирог.
Ik eet geen vlaai.	Я не ем пирог.
Eet je vlaai?	Ты ешь пирог?
het vlees	мясо
Ik eet vlees.	Я ем мясо.
Ik eet geen vlees.	Я не ем мясо.
Eet je vlees?	Ты ешь мясо?
de vleeswaren	мясные продукты
Ik koop vleeswaren.	Я покупаю мясные продукты.
Ik koop geen vleeswaren.	Я не покупаю мясные продукты.
Koop je vleeswaren?	Ты покупаешь мясные продукты?
voor	для
Dit is voor jou.	Это для тебя.
Dit is niet voor jou.	Это не для тебя.
Is dit voor jou?	Это для тебя?
warm	тёплый
Het is warm.	Тепло.
Het is niet warm.	Не тепло.
Is het warm?	Тепло?
wat	что
Wat is dit?	Что это?
Wat is dit niet?	Что это не?
Wat is dit?	Что это?
het water	вода
Ik drink water.	Я пью воду.
Ik drink geen water.	Я не пью воду.
Drink je water?	Ты пьёшь воду?
het wc-papier	туалетная бумага
Ik koop wc-papier.	Я покупаю туалетную бумагу.
Ik koop geen wc-papier.	Я не покупаю туалетную бумагу.
Koop je wc-papier?	Ты покупаешь туалетную бумагу?
het weekend	выходные
Ik ga in het weekend.	Я пойду в выходные.
Ik ga niet in het weekend.	Я не пойду в выходные.
Ga je in het weekend?	Ты идёшь в выходные?
weer	снова
Ik kom weer.	Я приду снова.
Ik kom niet weer.	Я не приду снова.
Kom je weer?	Ты придёшь снова?
weinig	мало
Ik heb weinig tijd.	У меня мало времени.
Ik heb niet weinig tijd.	У меня не мало времени.
Heb je weinig tijd?	У тебя мало времени?
de whisky	виски
Ik drink whisky.	Я пью виски.
Ik drink geen whisky.	Я не пью виски.
Drink je whisky?	Ты пьёшь виски?
de wijn	вино
Ik drink wijn.	Я пью вино.
Ik drink geen wijn.	Я не пью вино.
Drink je wijn?	Ты пьёшь вино?
de winkel	магазин
Ik ga naar de winkel.	Я пойду в магазин.
Ik ga niet naar de winkel.	Я не пойду в магазин.
Ga je naar de winkel?	Ты идёшь в магазин?
winkelen	покупать
Ik ga winkelen.	Я пойду покупать.
Ik ga niet winkelen.	Я не пойду покупать.
Ga je winkelen?	Ты идёшь покупать?
de winter	зима
Het is winter.	Зима.
Het is niet winter.	Не зима.
Is het winter?	Зима?
wit	белый
Het papier is wit.	Бумага белая.
Het papier is niet wit.	Бумага не белая.
Is het papier wit?	Бумага белая?
de worst	колбаса
Ik eet worst.	Я ем колбасу.
Ik eet geen worst.	Я не ем колбасу.
Eet je worst?	Ты ешь колбасу?
zacht	мягкий
Het kussen is zacht.	Подушка мягкая.
Het kussen is niet zacht.	Подушка не мягкая.
Is het kussen zacht?	Подушка мягкая?
de zak	мешок
Ik gebruik een zak.	Я использую мешок.
Ik gebruik geen zak.	Я не использую мешок.
Gebruik je een zak?	Ты используешь мешок?
het zakje	пакетик
Het zakje is klein.	Пакетик маленький.
Het zakje is niet klein.	Пакетик не маленький.
Is het zakje klein?	Пакетик маленький?
ziens	видя
Ik zie het.	Я вижу это.
Ik zie het niet.	Я не вижу это.
Zie je het?	Ты видишь это?
de zin	предложение
Ik maak een zin.	Я составляю предложение.
Ik maak geen zin.	Я не составляю предложение.
Maak je een zin?	Ты составляешь предложение?
zoet	сладкий
De appel is zoet.	Яблоко сладкое.
De appel is niet zoet.	Яблоко не сладкое.
Is de appel zoet?	Яблоко сладкое?
de zomer	лето
Het is zomer.	Лето.
Het is niet zomer.	Не лето.
Is het zomer?	Лето?
zonder	без
Ik ga zonder jou.	Я пойду без тебя.
Ik ga niet zonder jou.	Я не пойду без тебя.
Ga je zonder mij?	Ты идёшь без меня?
zout	солёный
Het eten is zout.	Еда солёная.
Het eten is niet zout.	Еда не солёная.
Is het eten zout?	Еда солёная?
zuur	кислый
De citroen is zuur.	Лимон кислый.
De citroen is niet zuur.	Лимон не кислый.
Is de citroen zuur?	Лимон кислый?
zwart	чёрный
Mijn jas is zwart.	Моя куртка чёрная.
Mijn jas is niet zwart.	Моя куртка не чёрная.
Is jouw jas zwart?	Твоя куртка чёрная?

